date,sp500
20060103,0.016341
20060104,0.003931
20060105,0.000028
20060106,0.009559
20060109,0.00371
20060110,-0.00034
20060111,0.003637
20060112,-0.006328
20060113,0.001146
20060117,-0.003727
20060118,-0.003855
20060119,0.005627
20060120,-0.018242
20060123,0.001952
20060124,0.002346
20060125,-0.001663
20060126,0.007313
20060127,0.007846
20060130,0.001336
20060131,-0.004009
20060201,0.00196
20060202,-0.008613
20060203,-0.005509
20060206,0.00066
20060207,-0.008058
20060208,0.009058
20060209,-0.001368
20060210,0.002512
20060213,-0.003194
20060214,0.010232
20060215,0.003883
20060216,0.007384
20060217,-0.001742
20060221,-0.003292
20060222,0.007578
20060223,-0.00342
20060224,0.001314
20060227,0.00384
20060228,-0.010478
20060301,0.008457
20060302,-0.001631
20060303,-0.001352
20060306,-0.006979
20060307,-0.001836
20060308,0.002283
20060309,-0.004849
20060310,0.00739
20060313,0.002234
20060314,0.010364
20060315,0.004471
20060316,0.002011
20060317,0.001535
20060320,-0.001426
20060321,-0.006015
20060322,0.005919
20060323,-0.002579
20060324,0.000929
20060327,-0.001102
20060328,-0.006381
20060329,0.007607
20060330,-0.002014
20060331,-0.00406
20060403,0.002187
20060404,0.006185
20060405,0.004393
20060406,-0.001739
20060407,-0.01041
20060410,0.000812
20060411,-0.007571
20060412,0.001395
20060413,0.000549
20060417,-0.002936
20060418,0.017268
20060419,0.001975
20060420,0.001144
20060421,-0.000263
20060424,-0.002285
20060425,-0.004814
20060426,0.002912
20060427,0.003428
20060428,0.00013
20060501,-0.00403
20060502,0.006031
20060503,-0.00381
20060504,0.003361
20060505,0.010378
20060508,-0.000732
20060509,0.000369
20060510,-0.001231
20060511,-0.012812
20060512,-0.011258
20060515,0.002776
20060516,-0.001848
20060517,-0.016619
20060518,-0.006328
20060519,0.004042
20060522,-0.003819
20060523,-0.004235
20060524,0.0018
20060525,0.011691
20060526,0.005726
20060530,-0.015789
20060531,0.008296
20060601,0.012175
20060602,0.001792
20060605,-0.017655
20060606,-0.001243
20060607,-0.005803
20060608,0.001489
20060609,-0.004422
20060612,-0.012678
20060613,-0.009978
20060614,0.005326
20060615,0.021335
20060616,-0.003563
20060619,-0.008887
20060620,-0.000005
20060621,0.009863
20060622,-0.005087
20060623,-0.000932
20060626,0.004783
20060627,-0.009043
20060628,0.005639
20060629,0.021357
20060630,-0.001923
20060703,0.007765
20060705,-0.007198
20060706,0.002673
20060707,-0.006819
20060710,0.001586
20060711,0.004022
20060712,-0.010929
20060713,-0.013011
20060714,-0.00501
20060717,-0.001411
20060718,0.001942
20060719,0.018576
20060720,-0.008438
20060721,-0.006877
20060724,0.016571
20060725,0.006597
20060726,-0.000387
20060727,-0.004176
20060728,0.012279
20060731,-0.001447
20060801,-0.004591
20060802,0.006216
20060803,0.001721
20060804,-0.00053
20060807,-0.002774
20060808,-0.003224
20060809,-0.004192
20060810,0.004944
20060811,-0.003862
20060814,0.001336
20060815,0.013633
20060816,0.007743
20060817,0.001772
20060818,0.003713
20060821,-0.003634
20060822,0.000837
20060823,-0.004445
20060824,0.002327
20060825,-0.000648
20060828,0.005286
20060829,0.002227
20060830,0.000458
20060831,-0.000215
20060901,0.005495
20060905,0.001805
20060906,-0.009614
20060907,-0.004711
20060908,0.003973
20060911,0.000631
20060912,0.010463
20060913,0.004132
20060914,-0.001123
20060915,0.00267
20060918,0.00098
20060919,-0.002129
20060920,0.005368
20060921,-0.005158
20060922,-0.002552
20060925,0.008747
20060926,0.007516
20060927,0.000458
20060928,0.001996
20060929,-0.002545
20061002,-0.003403
20061003,0.002116
20061004,0.012186
20061005,0.002456
20061006,-0.002666
20061009,0.000848
20061010,0.002047
20061011,-0.002461
20061012,0.009525
20061013,0.002007
20061016,0.002565
20061017,-0.00371
20061018,0.001525
20061019,0.000659
20061020,0.001424
20061023,0.006464
20061024,0.000292
20061025,0.003276
20061026,0.00514
20061027,-0.008419
20061030,0.000385
20061031,-0.000015
20061101,-0.007139
20061102,-0.000248
20061103,-0.002315
20061106,0.011245
20061107,0.002231
20061108,0.002306
20061109,-0.005224
20061110,0.001826
20061113,0.002777
20061114,0.006538
20061115,0.00272
20061116,0.002256
20061117,0.000995
20061120,-0.000435
20061121,0.001679
20061122,0.002671
20061124,-0.003604
20061127,-0.013792
20061128,0.003569
20061129,0.009591
20061130,0.000785
20061201,-0.003007
20061204,0.009022
20061205,0.003997
20061206,-0.001066
20061207,-0.003949
20061208,0.00185
20061211,0.002274
20061212,-0.001092
20061213,0.001403
20061214,0.008789
20061215,0.001105
20061218,-0.003338
20061219,0.002107
20061220,-0.001365
20061221,-0.003446
20061222,-0.005147
20061226,0.004361
20061227,0.007192
20061228,-0.001451
20061229,-0.004457
20070103,-0.000563
20070104,0.00126
20070105,-0.00612
20070108,0.002546
20070109,-0.000375
20070110,0.002038
20070111,0.006531
20070112,0.004775
20070116,0.000817
20070117,-0.000865
20070118,-0.002969
20070119,0.002904
20070122,-0.005188
20070123,0.003396
20070124,0.008468
20070125,-0.011029
20070126,-0.00119
20070129,-0.001004
20070130,0.005687
20070131,0.006774
20070201,0.005568
20070202,0.001683
20070205,-0.000834
20070206,0.000685
20070207,0.001834
20070208,-0.001081
20070209,-0.006948
20070212,-0.003256
20070213,0.007644
20070214,0.007753
20070215,0.00129
20070216,-0.000821
20070220,0.003142
20070221,-0.001342
20070222,-0.000633
20070223,-0.003514
20070226,-0.001029
20070227,-0.034485
20070228,0.005525
20070301,-0.00244
20070302,-0.011395
20070305,-0.009372
20070306,0.015521
20070307,-0.002256
20070308,0.007116
20070309,0.000661
20070312,0.002718
20070313,-0.020177
