date,XON,PG,PFE,WMT,INTC
19730131,0.082857,-0.021166,-0.023324,-0.141304,0.01005
19730228,-0.046702,-0.017241,0.015761,0.046414,-0.139303
19730330,0.055944,-0.054971,-0.026549,-0.266129,0.069364
19730430,0.019868,-0.009752,-0.042424,-0.016484,0.086486
19730531,-0.014805,-0.02133,0.064177,-0.01676,-0.104478
19730629,0.049268,0.066667,0.116418,-0.3125,0.133333
19730731,-0.027919,0.092067,0.05615,0.586777,0.625
19730831,-0.060313,-0.129282,-0.057519,-0.117708,0.117647
19730928,0.045007,0.005076,-0.032345,0.059172,0.234818
19731031,0.017497,0.046212,0.086351,0.050279,0.144262
19731130,-0.037037,-0.078788,-0.118564,-0.340426,-0.240688
19731231,0.048747,-0.031579,0.005848,-0.137097,0.188679
19740131,-0.081009,-0.022283,-0.119186,0.420561,0.139683
19740228,-0.02052,-0.015363,0.019802,-0.118421,0.155989
19740329,-0.026906,0.004255,-0.031197,-0.064179,-0.163855
19740430,-0.050691,0.064407,-0.087248,0.008,0.162824
19740531,-0.047249,0.045333,0.042353,0.079365,0.148699
19740628,-0.032759,0.017857,0.035461,0.147059,-0.148867
19740731,0.067736,-0.044361,-0.205479,0,-0.448669
19740830,-0.085142,-0.1278,-0.148621,-0.150641,-0.151724
19740930,-0.126394,-0.117825,-0.061224,-0.144151,-0.390244
19741031,0.165957,0.194521,0.391304,-0.123894,0.613333
19741129,-0.061314,-0.04611,0.011406,-0.191919,-0.115702
19741231,0.02988,-0.015106,0.023346,-0.05,-0.140187
19750131,0.131528,0.127301,-0.136882,0.578947,0.336957
19750228,0.075214,0.032832,0.207048,-0.058333,0.463415
19750331,-0.043619,0.01457,-0.052847,0.418053,0.183333
19750430,0.094595,0,-0.003876,-0.14375,0.244131
19750530,0.097222,0.018373,0.072062,0.226277,0.045283
19750630,0.055635,0.011598,-0.021898,0.162143,0.018051
19750731,-0.059459,-0.082803,-0.190299,0.005128,-0.120567
19750829,0.011494,-0.055866,0,-0.040816,0.112903
19750930,0.008646,-0.017751,-0.075945,0.04383,0.083333
19751031,0.018571,0.075301,0.160804,0.153061,-0.026756
19751128,-0.021038,0.047887,-0.030649,0.061947,0.020619
19751231,0.031977,-0.043011,-0.004505,-0.123667,-0.013468
19760130,0.025352,0.039326,0.076923,0.038095,0.170648
19760227,-0.028846,-0.077446,-0.096639,0.110092,0.093294
19760331,0.077475,0.066274,0.119442,0.083967,0.170667
19760430,0.003995,-0.01326,-0.087866,-0.122137,-0.03303
19760528,0.085146,-0.004225,0.022936,-0.043478,-0.014134
19760630,0.037175,0.07355,0.056861,0.001455,-0.021505
19760730,0.015532,0.017655,-0.021368,-0.127273,-0.03663
19760831,0.008471,-0.009115,-0.005415,0.229167,-0.068441
19760930,0.049645,0.015769,0.070796,0.052203,-0.008163
19761029,-0.054054,-0.011125,-0.016529,-0.080645,-0.098765
19761130,-0.012857,-0.014474,-0.110252,0.078947,0.03653
19761231,0.0489,0,0.119048,0.009756,0.052863
19770131,-0.002331,-0.073164,-0.080851,-0.104839,-0.100418
19770228,-0.035047,-0.043541,0.023148,-0.018018,0.009302
19770331,-0.002457,-0.040971,0.026787,0.020183,-0.129032
19770429,0.017241,-0.010759,-0.08,-0.135135,-0.10582
19770531,0.004843,-0.043548,-0.01971,0.104167,0.023669
19770630,0.046455,0.080944,0.034826,0.097736,0.150289
19770729,-0.035047,0.003432,0.004808,0.008621,0
19770831,-0.046005,0.081505,0.014354,0.059829,-0.050251
19770930,-0.005155,-0.013043,0.018491,0.099677,0.042328
19771031,-0.023316,-0.018796,-0.070093,-0.007353,-0.111675
19771130,0.002653,0.030166,0.116382,0.098963,0.057143
19771230,0.034946,0.005857,-0.004545,0.094595,-0.010811
19780131,-0.049351,-0.073945,-0.009132,-0.061728,-0.010929
19780228,-0.020765,-0.026941,-0.036129,0.019737,-0.121547
19780331,0.014205,-0.034202,0.067633,-0.029419,0.062893
19780428,0.056022,0.150084,0.085973,0.24,0.236686
19780531,0.009019,0.013314,0.0975,0.032258,0.066986
19780630,-0.061497,0.00438,0.02682,-0.02375,0.071749
19780731,0.059829,0.059593,0.063433,0.048128,0.124477
19780831,0.080108,-0.035961,-0.002105,0.112245,0.046512
19780929,0.050633,-0.001435,0.003546,0.020367,-0.026667
19781031,-0.074699,-0.043103,-0.091873,-0.18018,-0.136986
19781130,0.041146,0.039394,0.017121,0.010989,0.05291
19781229,0,0.036443,0.019305,-0.008478,0.01005
19790131,0.040712,-0.040788,-0.045455,-0.005495,0.089552
19790228,-0.019071,-0.038462,-0.043651,0.022099,0.045662
19790330,0.071066,-0.003077,0.064896,0.051892,0.131004
19790430,0.007109,-0.001852,-0.055118,0.046392,0.025097
19790531,-0.046588,0.007813,0.002667,0.004926,0.050847
19790629,0.082915,-0.046512,0.029412,-0.006863,0.112903
19790731,0.016241,-0.024715,0.016327,0.029703,-0.028986
19790831,0.043379,0.080944,0.139116,0.320192,0.139303
19790928,0.051225,-0.035881,-0.017794,-0.069343,0.091703
19791031,-0.025424,-0.027832,0,-0.07451,-0.004
19791130,0.027826,-0.003367,0.168986,0.186441,0.108434
19791231,-0.049569,0.003378,-0.01875,-0.005,-0.014493
19800131,0.104308,-0.017172,-0.044586,0.02518,0.007353
19800229,0.093635,-0.012132,-0.016667,-0.101754,0.051095
19800331,-0.114723,-0.049123,0.033492,-0.10625,-0.135417
19800430,0.049676,0.067897,0.023179,0.140351,-0.008032
19800530,0.074897,0.089161,0.074045,0.053846,0.109312
19800630,0.035156,-0.05297,0.00304,0.123358,-0.032847
19800731,0.050943,0.104407,0.039394,0.143322,0.283019
19800829,0.025494,-0.024845,-0.040816,0.101994,0.030882
19800930,-0.003571,-0.089172,0.121216,0.036269,0.018545
19801031,0.091398,-0.040909,-0.032787,0.01,-0.056022
19801128,0.174056,0.040665,0.12678,0.113861,0.109792
19801231,-0.082504,-0.021314,0.080808,0.077333,-0.13369
19810130,-0.035659,-0.01343,-0.056075,-0.008264,-0.07716
19810227,-0.054662,0.065299,-0.00198,0.054167,-0.060201
19810331,-0.046875,-0.012259,0.085,0.156206,0.035587
19810430,-0.001821,0.031206,0.004608,0.058219,0.041237
19810529,-0.032847,-0.017422,-0.029358,0.003236,0.085809
19810630,0.057915,0.074468,-0.085714,-0.017677,-0.121581
19810731,0.021898,-0.028713,-0.020833,-0.026316,-0.062284
19810831,-0.05,-0.04475,-0.026064,-0.035405,-0.169742
19810930,-0.042308,0.063063,-0.044077,0.059649,-0.133333
19811030,-0.024096,0.075254,0.048991,0.05298,0.174359
19811130,0.102881,0.025559,0.148901,0.103774,-0.122271
19811231,-0.045802,0.001558,0.026506,-0.029858,-0.099502
19820129,-0.02,0.073717,0.050892,-0.002941,0.154696
19820226,-0.036735,-0.02346,0.002252,-0.020649,-0.019139
19820331,-0.021739,-0.006006,-0.076404,0.104578,0.126829
19820430,0.004444,0.047432,0.087591,0.136612,0.095238
19820528,0.017699,-0.020438,-0.034273,-0.060096,-0.035573
19820630,-0.008929,-0.010432,0.03271,0.083683,0.028689
19820730,-0.063063,0.038253,0.017376,0.030733,0.031873
19820831,0.125,0.117474,0.125561,0.153028,0.138996
19820930,-0.017544,0.030223,0.10757,0.131474,-0.108475
19821029,0.058036,0.093622,0.02518,0.105634,0.129278
19821130,-0.029536,0.120141,0.034526,0.207006,0.030303
19821231,0.0625,-0.005258,-0.059727,0.05372,0.013072
19830131,0.012605,-0.038478,0.002976,-0.057644,0.109677
19830228,-0.004149,0.015556,0.021898,0.047872,0.081395
19830331,0.055556,0.063457,0.082143,0.176548,0.037634
19830429,0.145749,-0.000412,0.085809,0.064795,0.025907
19830531,-0.024735,-0.10395,-0.058298,0.166329,0.156566
19830630,0,0.023202,0.139837,0.08967,0.30131
19830729,0.062963,-0.05034,-0.10893,0.047923,0.080537
19830831,0.081533,0.033816,-0.012903,-0.03878,0.018634
19830930,-0.039474,0.03972,0.039216,0.038095,0.006098
19831031,0.047945,0.008539,-0.028302,-0.039755,-0.084848
19831130,0.007843,0.067568,-0.034563,0.073248,0.10596
19831230,-0.009934,-0.040084,-0.033784,-0.073353,0.005988
