 
                                                                                                                                                                                                                                                                
 
   caldt        t30ret        t30ind

19251231       .           38.910820
19261231      0.031943     40.153750
19271231      0.031247     41.408430
19281231      0.038241     42.991950
19291231      0.047367     45.028340
19301231      0.023473     46.085320
19311231      0.010230     46.556760
19321231      0.008056     46.931780
19331230      0.002933     47.069450
19341231      0.001547     47.142250
19351231      0.001653     47.220150
19361231      0.001748     47.302720
19371231      0.003186     47.453460
19381231      0.000408     47.472760
19391230      0.000075     47.476340
19401231     -0.000581     47.448710
19411231      0.000422     47.468710
19421231      0.002615     47.592880
19431231      0.003395     47.754510
19441230      0.003216     47.908020
19451231      0.003211     48.061830
19461231      0.003521     48.231060
19471231      0.004612     48.453470
19481231      0.009791     48.927830
19491230      0.011061     49.469000
19501229      0.012134     50.069280
19511231      0.014834     50.811970
19521231      0.016420     51.646300
19531231      0.017800     52.565600
19541231      0.008627     53.019030
19551230      0.015551     53.843510
19561231      0.024214     55.147340
19571231      0.031287     56.872680
19581231      0.014151     57.677510
19591231      0.028153     59.301300
19601230      0.025824     60.832680
19611229      0.021591     62.146070
19621231      0.027241     63.838930
19631231      0.031514     65.850770
19641231      0.035183     68.167560
19651231      0.039620     70.868360
19661230      0.047051     74.202710
19671229      0.041474     77.280130
19681231      0.052942     81.371440
19691231      0.065912     86.734910
19701231      0.063829     92.271140
19711231      0.043172     96.254600
19721229      0.038912    100.000000
19731231      0.070586    107.058700
19741231      0.080781    115.707000
19751231      0.058210    122.442400
19761231      0.051557    128.755000
19771230      0.051521    135.388500
19781229      0.073081    145.282900
19791231      0.106899    160.813300
19801231      0.115229    179.343400
19811231      0.148558    205.986500
19821231      0.106643    227.953600
19831230      0.088471    248.120900
19841231      0.099557    272.823200
19851231      0.076767    293.766800
19861231      0.060571    311.560600
19871231      0.053845    328.336400
19881230      0.063228    349.096400
19891229      0.082206    377.794300
19901231      0.076799    406.808800
19911231      0.055065    429.209800
19921231      0.034015    443.809200
19931231      0.028994    456.676700
19941230      0.038800    474.395600
19951229      0.055318    500.638300
19961231      0.051449    526.395900
19971231      0.050819    553.146800
19981231      0.047811    579.593800
19991231      0.045608    606.028300
20001229      0.057559    640.911000
20011231      0.037786    665.128800
20021231      0.016339    675.996700
20031231      0.010182    682.880400
20041231      0.012005    691.077900
20051230      0.029633    711.556300
20061229      0.047855    745.608200
20071231      0.046747    780.463700
20081231      0.014742    791.969700
20091231      0.000966    792.735200
20101231      0.001216    793.698700
20111230      0.000428    794.038600
20121231      0.000565    794.487300
20131231      0.000277    794.707600
20141231      0.000164    794.838600
20151231      0.000092    794.911700
20161230      0.001886    796.409900
20171229      0.007914    802.712700
20181231      0.017066    816.412400
20191231      0.021470    833.940000
