 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        vwindd

19251231       .            1.474616
19261231      0.098479      1.619834
19271231      0.328716      2.152299
19281231      0.391397      2.994702
19291231     -0.150955      2.542635
19301231     -0.289005      1.807802
19311231     -0.443873      1.005367
19321231     -0.079449      0.925492
19331230      0.574131      1.456845
19341231      0.031843      1.503236
19351231      0.454487      2.186437
19361231      0.323153      2.892990
19371231     -0.346044      1.891890
19381231      0.284359      2.429866
19391230      0.018435      2.474660
19401231     -0.075104      2.288802
19411231     -0.100387      2.059035
19421231      0.167218      2.403342
19431231      0.279687      3.075526
19441230      0.213640      3.732579
19451231      0.390593      5.190497
19461231     -0.064212      4.857207
19471231      0.032933      5.017169
19481231      0.021313      5.124102
19491231      0.201096      6.154536
19501230      0.304730      8.030009
19511231      0.209441      9.711824
19521231      0.133324     11.006640
19531231      0.003843     11.048940
19541231      0.504120     16.618940
19551230      0.254135     20.842380
19561231      0.085817     22.631020
19571231     -0.103484     20.289090
19581231      0.447759     29.373700
19591231      0.126462     33.088350
19601230      0.012089     33.488350
19611229      0.269605     42.516980
19621231     -0.103121     38.132580
19631231      0.208876     46.097540
19641231      0.163038     53.613170
19651231      0.143859     61.325890
19661230     -0.086888     55.997410
19671229      0.285666     71.993980
19681231      0.141689     82.194750
19691231     -0.108362     73.287930
19701231      0.000731     73.341480
19711231      0.161989     85.222020
19721229      0.173406    100.000000
19731231     -0.187489     81.251060
19741231     -0.279412     58.548560
19751231      0.373578     80.421040
19761231      0.267802    101.958000
19771230     -0.029697     98.930090
19781229      0.085462    107.384800
19791231      0.244143    133.602100
19801231      0.332396    178.010800
19811231     -0.039868    170.913900
19821231      0.204217    205.817400
19831230      0.226439    252.422500
19841231      0.031649    260.411300
19851231      0.314113    342.209800
19861231      0.155616    395.463100
19871231      0.018309    402.703700
19881230      0.175565    473.404600
19891229      0.284313    607.999800
19901231     -0.060845    571.006100
19911231      0.336457    763.125200
19921231      0.090664    832.313100
19931231      0.115897    928.775500
19941230     -0.007580    921.735300
19951229      0.356824    1250.63300
19961231      0.211764    1515.47200
19971231      0.303524    1975.45300
19981231      0.222598    2415.18600
19991231      0.252686    3025.47000
20001229     -0.111612    2687.79000
20011231     -0.112681    2384.92700
20021231     -0.208386    1887.94200
20031231      0.331311    2513.43700
20041231      0.129976    2840.12300
20051230      0.073069    3047.64700
20061229      0.162148    3541.81600
20071231      0.072829    3799.76300
20081231     -0.383043    2344.29100
20091231      0.316155    3085.44900
20101231      0.178922    3637.50400
20111230     -0.008992    3604.79600
20121231      0.159796    4180.82900
20131231      0.316749    5505.10400
20141231      0.108363    6101.65400
20151231     -0.015995    6004.06200
20161230      0.129461    6781.35500
20171229      0.209028    8198.84600
20181231     -0.061828    7691.92900
20191231      0.297513    9980.37700
