% CRSP value weight market portfolio obtained from CRSP via WRDS. Monthly 
% data are annualized by compounding over the course of the year. Raw annual 
% bond data are averages of 20-year and 30-year T-bond returns obtained from US Treasury 
% and Inflation Indices via WRDS.

%date	mktret	bondret
1942	0.167218	0.032212
1943	0.279687	0.020829
1944	0.21364	0.028147
1945	0.390593	0.10734
1946	-0.064212	-0.00104
1947	0.032933	-0.026261
1948	0.021313	0.033975
1949	0.201096	0.064482
1950	0.30473	0.000569
1951	0.209441	-0.039351
1952	0.133324	0.011563
1953	0.003843	0.036339
1954	0.50412	0.071852
1955	0.254135	-0.00694
1956	0.085817	-0.062722
1957	-0.103484	0.082192
1958	0.447759	-0.067265
1959	0.126462	-0.049034
1960	0.012089	0.144849
1961	0.269605	-0.007657
1962	-0.103121	0.086509
1963	0.208876	-0.011029
1964	0.163038	0.046065
1965	0.143859	0.006997
1966	-0.086888	0.050818
1967	0.285666	-0.054114
1968	0.141689	-0.011503
1969	-0.108362	-0.063528
1970	0.000731	0.123013
1971	0.161989	0.185808
1972	0.173406	0.047314
1973	-0.187489	-0.023089
1974	-0.279412	0.00199
1975	0.373578	0.097131
1976	0.267802	0.177048
1977	-0.029697	-0.004685
1978	0.085462	-0.005007
1979	0.244143	-0.008669
1980	0.332396	-0.030118
1981	-0.039868	0.008824
1982	0.204217	0.397441
1983	0.226439	0.012768
1984	0.031649	0.158055
1985	0.314113	0.345016
1986	0.155616	0.249209
1987	0.018309	-0.076039
1988	0.175565	0.076528
1989	0.284313	0.204549
1990	-0.060845	0.048694
1991	0.336457	0.173887
1992	0.090664	0.068254
1993	0.115897	0.181892
1994	-0.00758	-0.119794
1995	0.356824	0.335718
1996	0.211764	-0.045262
1997	0.303524	0.156559
1998	0.222598	0.170756
1999	0.252686	-0.148867
2000	-0.111612	0.200587
2001	-0.112681	0.033705
2002	-0.208386	0.163857
2003	0.331311	0.006738
2004	0.129976	0.087015
2005	0.073069	0.089353
2006	0.162148	-0.012106
2007	0.072829	0.102542
2008	-0.383043	0.416803
2009	0.316155	-0.259622
2010	0.178922	0.086596
2011	-0.008992	0.352872
2012	0.159796	0.022774
2013	0.316749	-0.15213
2014	0.108363	0.299421
2015	-0.015995	-0.031883
2016	0.129461	0.006311
2017	0.209028	0.095452
2018	-0.061828	-0.026023
2019	0.297513	0.160594
