caldt,vwretd,vwretx,spindx
19800102,-0.020016,-0.020036,105.76
19800103,-0.004558,-0.004558,105.22
19800104,0.012308,0.012120,106.52
19800107,0.003118,0.003074,106.81
19800108,0.021196,0.021195,108.95
19800109,-0.000244,-0.000318,109.05
19800110,0.008331,0.008330,109.89
19800111,0.000991,0.000977,109.92
19800114,0.003513,0.003295,110.38
19800115,0.007180,0.007080,111.14
19800116,-0.000938,-0.000938,111.05
19800117,-0.003360,-0.003374,110.70
19800118,0.003572,0.003543,111.07
19800121,0.009701,0.009647,112.10
19800122,-0.005548,-0.005560,111.51
19800123,0.017748,0.017744,113.44
19800124,0.001654,0.001638,113.70
19800125,-0.000765,-0.000955,113.61
19800128,0.011111,0.010601,114.85
19800129,-0.005980,-0.006313,114.07
19800130,0.010413,0.010196,115.20
19800131,-0.009091,-0.009332,114.16
19800201,0.009060,0.008898,115.12
19800204,-0.005178,-0.007063,114.37
19800205,0.002725,0.002467,114.66
19800206,0.011094,0.010273,115.72
19800207,0.004464,0.003984,116.28
19800208,0.014556,0.014046,117.95
19800211,-0.007286,-0.007409,117.12
19800212,0.007942,0.007942,117.90
19800213,0.003401,0.003293,118.44
19800214,-0.015085,-0.015229,116.72
19800215,-0.009371,-0.009859,115.41
19800219,-0.007096,-0.007303,114.60
19800220,0.016789,0.016544,116.47
19800221,-0.010964,-0.011130,115.28
19800222,-0.001908,-0.001932,115.04
19800225,-0.013361,-0.014996,113.33
19800226,0.006659,0.006293,113.98
19800227,-0.014352,-0.014475,112.38
19800228,0.000227,0.000113,112.35
19800229,0.011372,0.011133,113.66
19800303,-0.009853,-0.010103,112.50
19800304,0.003319,0.002954,112.78
19800305,-0.014687,-0.014730,111.13
19800306,-0.022095,-0.022240,108.65
19800307,-0.016974,-0.016991,106.90
19800310,-0.002588,-0.002956,106.51
19800311,0.012512,0.012006,107.78
19800312,-0.008435,-0.008460,106.87
19800313,-0.011684,-0.011713,105.62
19800314,-0.001878,-0.002030,105.43
19800317,-0.029842,-0.029880,102.26
19800318,0.018741,0.018654,104.10
19800319,0.002137,0.002132,104.31
19800320,-0.012312,-0.012325,103.12
19800321,-0.006842,-0.006850,102.31
19800324,-0.029782,-0.029890,99.28
19800325,-0.000812,-0.001059,99.19
19800326,-0.005208,-0.005258,98.68
19800327,-0.003924,-0.004013,98.22
19800328,0.025133,0.024909,100.68
19800331,0.014728,0.014721,102.09
19800401,0.000130,0.000075,102.18
19800402,0.005748,0.005724,102.68
19800403,-0.004981,-0.005131,102.15
19800407,-0.019471,-0.019493,100.19
19800408,0.010947,0.010947,101.20
19800409,0.020337,0.020250,103.11
19800410,0.007344,0.007304,104.08
19800411,-0.003076,-0.003107,103.79
19800414,-0.009335,-0.009548,102.84
19800415,-0.001177,-0.001268,102.63
19800416,-0.011765,-0.011772,101.54
19800417,-0.004290,-0.004487,101.05
19800418,-0.005098,-0.005134,100.55
19800421,-0.007213,-0.007297,99.80
19800422,0.036561,0.036548,103.43
19800423,0.002606,0.002606,103.73
19800424,0.007045,0.007030,104.40
19800425,0.007916,0.007748,105.16
19800428,0.004324,0.003808,105.64
19800429,0.002754,0.002321,105.86
19800430,0.003885,0.003608,106.29
19800501,-0.007213,-0.007350,105.46
19800502,0.001450,0.001332,105.58
19800505,0.008683,0.007097,106.38
19800506,-0.000154,-0.000414,106.25
19800507,0.009074,0.008164,107.18
19800508,-0.008943,-0.009677,106.13
19800509,-0.012950,-0.013439,104.72
19800512,0.000978,0.000616,104.78
19800513,0.013843,0.013741,106.30
19800514,0.005543,0.005464,106.85
19800515,0.000777,0.000759,106.99
19800516,0.004352,0.004068,107.35
19800519,0.003215,0.002712,107.67
19800520,-0.000565,-0.000704,107.62
19800521,0.001289,0.001030,107.72
19800522,0.012938,0.012633,109.01
19800523,0.016973,0.015442,110.62
19800527,0.006755,0.006206,111.40
19800528,0.006867,0.006855,112.06
19800529,-0.016801,-0.016936,110.27
19800530,0.009082,0.008776,111.24
19800602,-0.003407,-0.003893,110.76
19800603,-0.002540,-0.002677,110.51
19800604,0.019581,0.019468,112.61
19800605,0.001189,0.001115,112.78
19800606,0.003865,0.003837,113.20
